Week,Days,Morning (9 AM - 12 PM),Afternoon (2 PM - 5 PM),Evening (6 PM - 9 PM),Revision/Practice
Week 1,Day 1-2,"General Intelligence: Analogies, Similarities, Space Visualization","English: Grammar basics, Vocabulary building","Subject: Social Welfare - Concepts, Philosophy, Evolution",50 Practice Questions
,Day 3-4,"General Intelligence: Problem Solving, Reasoning","Subject: Professional Social Work - Principles, Values, Methods","Psychology: Mental Health fundamentals, Normal vs Abnormal Behavior",Mock Test - General Intelligence (20 Qs)
,Day 5-6,"English: Comprehension, Error Spotting",Psychology: Human Development (Prenatal to Adolescence),"Subject: Personality Development Theories (Freud, Erikson)",Previous Year Questions (25 Qs)
,Day 7,Weekly Revision,Mock Test - Full General Section,Subject Review: Social Welfare & Psychology,Identify weak areas
Week 2,Day 8-9,"Psychology: Developmental Stages (Adulthood, Old Age)","Subject: Defence Mechanisms, Perspectives of Psychopathology","Social Psychology: Attitude, Communication, Mass Communication",60 Practice Questions
,Day 10-11,"Sociology: Society, Social Groups, Social Institutions","Subject: Family, Marriage, Kinship, Culture & Traditions","Social Structures: Status, Role, Social Interaction",Mock Test - Psychology (30 Qs)
,Day 12-13,"General Awareness: Current Affairs, Indian Polity",Subject: Social Work Methods (Primary & Secondary),Interface between Professional and Voluntary Social Work,Previous Year Questions (30 Qs)
,Day 14,Weekly Revision,Mock Test - Subject Knowledge (40 Qs),Psychology & Sociology Review,Error Analysis & Notes Review
Week 3,Day 15-16,"English: Active/Passive Voice, Direct/Indirect Speech","Subject: Mental Hygiene - Aims, Principles, Programs",Social System & Sub-systems: Structure & Function,70 Practice Questions
,Day 17-18,"General Intelligence: Coding-Decoding, Series","Subject: Social Legislation, Human Rights, Social Justice","Social Process: Socialization, Cooperation, Conflict",Mock Test - Combined (50 Qs)
,Day 19-20,"Current Affairs: Last 6 months events, Government Schemes","Subject: Social Development, Planning & Administration","Social Policy, Social Action, Social Security",Previous Year Papers (Complete Paper 1)
,Day 21,Weekly Revision,Full-Length Mock Test (100 Qs),Comprehensive Review of all topics,Time Management Practice
Week 4,Day 22-23,High-weightage topics revision: Psychology theories,"Subject: Social Welfare services, Code of Ethics","Mental Health: Characteristics, Importance, Programme",80 Practice Questions
,Day 24-25,Previous Year Papers Analysis (2020-2024),Frequently Asked Questions Practice,Important Topics Deep Dive,Mock Test (100 Qs)
,Day 26-27,Formula & Key Points Revision,Subject-wise Short Notes Review,Weak Areas Focused Practice,Previous Year Paper (Complete)
,Day 28-29,Final Revision: All Subjects,Mock Test Series (2 Full Tests),Quick Revision using Flashcards,Strategy & Time Management
,Day 30,Light Revision - Important formulas only,"Exam Pattern Review, Dos & Don'ts",Relax & Mental Preparation,Early Sleep for Exam Day
